Prompt,Intent,Entities
Do a complete search for lab1 assets.,lab1_assets,"Lab name, IP Address"
Give me lab1’s asset register.   ,lab1_assets,"Lab name, IP Address"
Can you display the CVSS and risk data for all vulnerabilities? ASAP neatly,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
What is the CVSS score and risk for each vulnerability? for my report clearly,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
Report vulnerabilities with their CVSS score and risk level ASAP clearly,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
Show the CVSS score and risk for each vulnerability for my report right away,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
Report vulnerabilities with their CVSS score and risk level please right away,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
What is the CVSS score and risk for each vulnerability? please neatly,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
Indicate the CVSS score and risk rating for each found vulnerability ASAP,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
Enumerate all vulnerabilities with their CVSS score and risk classification for my report neatly,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
List vulnerabilities along with their CVSS scores and associated risks please.,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
Show the CVSS score and risk for each vulnerability as a table?,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
Enumerate all vulnerabilities with their CVSS score and risk classification,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
Can you display the CVSS and risk data for all vulnerabilities? now right away,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
Report vulnerabilities with their CVSS score and risk level in the list,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
List vulnerabilities along with their CVSS scores and associated risks please neatly,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
Enumerate all vulnerabilities with their CVSS score and risk classification as a table neatly,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
Indicate the CVSS score and risk rating for each found vulnerability?,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
Provide the CVSS rating and risk level per vulnerability in the list right away,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
List vulnerabilities along with their CVSS scores and associated risks for my report clearly,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
Enumerate all vulnerabilities with their CVSS score and risk classification as a table,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
Provide the CVSS rating and risk level per vulnerability clearly,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
Indicate the CVSS score and risk rating for each found vulnerability.,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
Indicate the CVSS score and risk rating for each found vulnerability please neatly,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
Display each vulnerability's CVSS score and its risk assessment?,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
Enumerate all vulnerabilities with their CVSS score and risk classification please neatly,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
Enumerate all vulnerabilities with their CVSS score and risk classification now.,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
Can you display the CVSS and risk data for all vulnerabilities? please?,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
Enumerate all vulnerabilities with their CVSS score and risk classification in detail,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
Display each vulnerability's CVSS score and its risk assessment for my report?,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
Enumerate all vulnerabilities with their CVSS score and risk classification in the list?,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
List vulnerabilities along with their CVSS scores and associated risks as a table clearly,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
Show the CVSS score and risk for each vulnerability as a table in detail,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
Can you display the CVSS and risk data for all vulnerabilities?.,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
Provide the CVSS rating and risk level per vulnerability please neatly,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
Give me the CVSS score and risk for every vulnerability listed please.,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
Enumerate all vulnerabilities with their CVSS score and risk classification please,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
Provide the CVSS rating and risk level per vulnerability ASAP.,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
List vulnerabilities along with their CVSS scores and associated risks for my report in detail,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
Provide the CVSS rating and risk level per vulnerability as a table neatly,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
Provide the CVSS rating and risk level per vulnerability for my report right away,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
What is the CVSS score and risk for each vulnerability? in the list clearly,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
Indicate the CVSS score and risk rating for each found vulnerability now.,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
Show the CVSS score and risk for each vulnerability in the list clearly,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
What is the CVSS score and risk for each vulnerability? in the list,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
Provide the CVSS rating and risk level per vulnerability in the list in detail,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
List vulnerabilities along with their CVSS scores and associated risks ASAP?,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
Display each vulnerability's CVSS score and its risk assessment in the list,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
Provide the CVSS rating and risk level per vulnerability in the list,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
List vulnerabilities along with their CVSS scores and associated risks ASAP in detail,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
Display each vulnerability's CVSS score and its risk assessment as a table?,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
Display each vulnerability's CVSS score and its risk assessment in the list.,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
Can you display the CVSS and risk data for all vulnerabilities? for my report in detail,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
Give me the CVSS score and risk for every vulnerability listed in the list in detail,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
Give me the CVSS score and risk for every vulnerability listed for my report neatly,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
Display each vulnerability's CVSS score and its risk assessment please right away,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
Indicate the CVSS score and risk rating for each found vulnerability ASAP right away,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
Display each vulnerability's CVSS score and its risk assessment ASAP,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
Give me the CVSS score and risk for every vulnerability listed please,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
Report vulnerabilities with their CVSS score and risk level right away,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
Can you display the CVSS and risk data for all vulnerabilities? ASAP.,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
Give me the CVSS score and risk for every vulnerability listed as a table in detail,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
What is the CVSS score and risk for each vulnerability? clearly,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
Show the CVSS score and risk for each vulnerability please in detail,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
List vulnerabilities along with their CVSS scores and associated risks in the list neatly,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
Provide the CVSS rating and risk level per vulnerability in the list neatly,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
Enumerate all vulnerabilities with their CVSS score and risk classification in the list.,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
List vulnerabilities along with their CVSS scores and associated risks now in detail,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
Provide the CVSS rating and risk level per vulnerability for my report,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
Give me the CVSS score and risk for every vulnerability listed for my report right away,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
Display each vulnerability's CVSS score and its risk assessment in the list right away,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
Can you display the CVSS and risk data for all vulnerabilities? as a table neatly,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
Indicate the CVSS score and risk rating for each found vulnerability please?,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
Give me the CVSS score and risk for every vulnerability listed as a table neatly,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
Can you display the CVSS and risk data for all vulnerabilities? in the list.,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
Give me the CVSS score and risk for every vulnerability listed ASAP?,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
Indicate the CVSS score and risk rating for each found vulnerability ASAP clearly,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
List vulnerabilities along with their CVSS scores and associated risks ASAP neatly,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
List vulnerabilities along with their CVSS scores and associated risks as a table,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
Enumerate all vulnerabilities with their CVSS score and risk classification in the list,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
Can you display the CVSS and risk data for all vulnerabilities? please.,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
List vulnerabilities along with their CVSS scores and associated risks right away,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
Provide the CVSS rating and risk level per vulnerability now in detail,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
Indicate the CVSS score and risk rating for each found vulnerability as a table in detail,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
Report vulnerabilities with their CVSS score and risk level now neatly,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
What is the CVSS score and risk for each vulnerability? please clearly,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
List vulnerabilities along with their CVSS scores and associated risks for my report right away,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
Report vulnerabilities with their CVSS score and risk level please,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
List vulnerabilities along with their CVSS scores and associated risks as a table in detail,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
Report vulnerabilities with their CVSS score and risk level.,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
What is the CVSS score and risk for each vulnerability? in the list right away,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
Indicate the CVSS score and risk rating for each found vulnerability in the list?,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
Show the CVSS score and risk for each vulnerability please,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
List vulnerabilities along with their CVSS scores and associated risks in the list?,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
Show the CVSS score and risk for each vulnerability for my report neatly,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
Give me the CVSS score and risk for every vulnerability listed ASAP.,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
Enumerate all vulnerabilities with their CVSS score and risk classification ASAP.,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
Report vulnerabilities with their CVSS score and risk level for my report neatly,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
Report vulnerabilities with their CVSS score and risk level,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
Can you display the CVSS and risk data for all vulnerabilities? in the list in detail,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
What is the CVSS score and risk for each vulnerability? ASAP.,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
Can you display the CVSS and risk data for all vulnerabilities? in the list?,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
Report vulnerabilities with their CVSS score and risk level please neatly,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
Display each vulnerability's CVSS score and its risk assessment in the list neatly,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
Report vulnerabilities with their CVSS score and risk level now.,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
Show the CVSS score and risk for each vulnerability neatly,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
List vulnerabilities along with their CVSS scores and associated risks neatly,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
Enumerate all vulnerabilities with their CVSS score and risk classification clearly,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
What is the CVSS score and risk for each vulnerability? as a table?,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
Show the CVSS score and risk for each vulnerability clearly,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
Display each vulnerability's CVSS score and its risk assessment as a table right away,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
Enumerate all vulnerabilities with their CVSS score and risk classification right away,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
Show the CVSS score and risk for each vulnerability for my report?,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
Report vulnerabilities with their CVSS score and risk level now,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
List vulnerabilities along with their CVSS scores and associated risks as a table.,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
What is the CVSS score and risk for each vulnerability? ASAP clearly,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
List vulnerabilities along with their CVSS scores and associated risks in the list.,cvss_score_with_risk,"CVSS V3 Base Score, CVSS V2 Base Score , Risk Factor, Severity"
Count the number of vulnerabilities.,count_vulnerabilities,Severity
How many vulnerabilities are there?,count_vulnerabilities,Severity
Show me the total vulnerabilities.,count_vulnerabilities,Severity
Give me the vulnerability count.,count_vulnerabilities,Severity
What’s the total number of vulnerabilities?,count_vulnerabilities,Severity
How many security issues are recorded?,count_vulnerabilities,Severity
Show count of all vulnerabilities.,count_vulnerabilities,Severity
Total vulnerabilities detected?,count_vulnerabilities,Severity
Vulnerability numbers please.,count_vulnerabilities,Severity
I need the number of vulnerabilities.,count_vulnerabilities,Severity
Count vulnerabilities by severity.,count_vulnerabilities,Severity
Number of critical vulnerabilities?,count_vulnerabilities,Severity
"Show total high, medium, low vulnerabilities.",count_vulnerabilities,Severity
How many low and medium vulnerabilities are there?,count_vulnerabilities,Severity
List the count of vulnerabilities grouped by severity.,count_vulnerabilities,Severity
What’s the total number of critical vulns?,count_vulnerabilities,Severity
How many severe vulnerabilities do we have?,count_vulnerabilities,Severity
Count of minor vs major vulnerabilities?,count_vulnerabilities,Severity
Breakdown of vulnerability counts by severity level.,count_vulnerabilities,Severity
Give counts of each vulnerability severity.,count_vulnerabilities,Severity
Vulnerability count this month?,count_vulnerabilities,Severity
How many were reported last week?,count_vulnerabilities,Severity
Total vulnerabilities found in 2024?,count_vulnerabilities,Severity
Count vulnerabilities discovered in the past year.,count_vulnerabilities,Severity
Vulnerability totals for last 30 days?,count_vulnerabilities,Severity
How many vulnerabilities were found recently?,count_vulnerabilities,Severity
Get the count of vulnerabilities from last scan.,count_vulnerabilities,Severity
Show vulnerability count over time.,count_vulnerabilities,Severity
Number of vulns detected this quarter?,count_vulnerabilities,Severity
Weekly vulnerability count?,count_vulnerabilities,Severity
Vulnerability count in Lab1?,count_vulnerabilities,Severity
Show number of vulnerabilities in BU3.,count_vulnerabilities,Severity
Count of vulnerabilities in lab X?,count_vulnerabilities,Severity
Total vulnerabilities by business unit?,count_vulnerabilities,Severity
Give me vulnerability numbers per BU.,count_vulnerabilities,Severity
Which lab has the most vulnerabilities?,count_vulnerabilities,Severity
How many vulnerabilities are in each lab?,count_vulnerabilities,Severity
Count vulns for a specific lab.,count_vulnerabilities,Severity
BU-level vulnerability statistics?,count_vulnerabilities,Severity
List vulnerabilities grouped by BU.,count_vulnerabilities,Severity
Count vulnerabilities for IP 10.0.0.1.,count_vulnerabilities,Severity
How many vulnerabilities on asset ABC?,count_vulnerabilities,Severity
Show total vulns for device with MAC address 00:A1:B2:00:C3:D4.,count_vulnerabilities,Severity
Get number of vulnerabilities affecting asset 192.168.1.5.,count_vulnerabilities,Severity
Vuln count for specific machine?,count_vulnerabilities,Severity
"How many vulnerabilities for hostname ""devserver01""?",count_vulnerabilities,Severity
Vulnerabilities count on machine 172.16.0.9.,count_vulnerabilities,Severity
Give me the count for a particular host.,count_vulnerabilities,Severity
Number of issues on my endpoint?,count_vulnerabilities,Severity
Vulnerabilities found on device X?,count_vulnerabilities,Severity
What’s the vulnerability situation like?,count_vulnerabilities,Severity
Could you summarize the vulnerabilities?,count_vulnerabilities,Severity
Just give me a count of how bad things are.,count_vulnerabilities,Severity
Quick summary: how many vulnerabilities?,count_vulnerabilities,Severity
Tell me how many vulns we've got.,count_vulnerabilities,Severity
How bad is it? Number of issues?,count_vulnerabilities,Severity
Do we have a lot of vulnerabilities?,count_vulnerabilities,Severity
Are there many vulnerabilities reported?,count_vulnerabilities,Severity
Sum up the vulnerabilities count.,count_vulnerabilities,Severity
What's the volume of vulnerabilities?,count_vulnerabilities,Severity
Get vulnerability count.,count_vulnerabilities,Severity
Fetch number of vulnerabilities.,count_vulnerabilities,Severity
Retrieve vulnerability summary.,count_vulnerabilities,Severity
Compute total vulnerabilities.,count_vulnerabilities,Severity
Pull the vulnerability count from DB.,count_vulnerabilities,Severity
Generate vulnerability count report.,count_vulnerabilities,Severity
List how many vulnerabilities exist.,count_vulnerabilities,Severity
Calculate vulnerability numbers.,count_vulnerabilities,Severity
Collect total vulnerability stats.,count_vulnerabilities,Severity
Return the number of vulnerabilities.,count_vulnerabilities,Severity
Give me a summary of vulnerabilities.,count_vulnerabilities,Severity
Show me vulnerability statistics.,count_vulnerabilities,Severity
Vulnerability numbers report?,count_vulnerabilities,Severity
I want a quick vuln breakdown.,count_vulnerabilities,Severity
Generate vulnerability metrics.,count_vulnerabilities,Severity
Compile count of all vulnerabilities.,count_vulnerabilities,Severity
Run report for total vulnerabilities.,count_vulnerabilities,Severity
What's the count in our environment?,count_vulnerabilities,Severity
Count all security vulnerabilities.,count_vulnerabilities,Severity
Provide statistics of vulnerabilities.,count_vulnerabilities,Severity
How many total vulnerabilities?,count_vulnerabilities,Severity
Count how many vulnerabilities exist.,count_vulnerabilities,Severity
Count vulnerabilities that have been detected.,count_vulnerabilities,Severity
Total number of system vulnerabilities?,count_vulnerabilities,Severity
Show full vulnerability count.,count_vulnerabilities,Severity
Get vulnerability breakdown.,count_vulnerabilities,Severity
How many vulns per severity?,count_vulnerabilities,Severity
Total vulnerabilities grouped by risk.,count_vulnerabilities,Severity
Show vulnerabilities split by type.,count_vulnerabilities,Severity
Count of vulnerabilities detected to date.,count_vulnerabilities,Severity
Are critical vulnerabilities more than high ones?,count_vulnerabilities,Severity
Count only high or critical vulnerabilities.,count_vulnerabilities,Severity
How does vulnerability count compare by BU?,count_vulnerabilities,Severity
What’s the trend in vulnerability counts?,count_vulnerabilities,Severity
Count vulnerabilities unless severity is “info.”,count_vulnerabilities,Severity
Vulnerabilities more than 5 in any group?,count_vulnerabilities,Severity
List if critical vulnerability count > 10.,count_vulnerabilities,Severity
Are there more critical or low vulnerabilities?,count_vulnerabilities,Severity
Which severity has the highest count?,count_vulnerabilities,Severity
Vulnerabilities count for only exploitable ones.,count_vulnerabilities,Severity
How many vulnerabilities have no patch?,count_vulnerabilities,Severity
Count vulnerabilities with no fix available.,count_vulnerabilities,Severity
List vulnerability totals where exploit is available.,count_vulnerabilities,Severity
Count unresolved vulnerabilities.,count_vulnerabilities,Severity
Get a total of open vulnerabilities.,count_vulnerabilities,Severity
Count vulnerabilities per month.,count_vulnerabilities,Severity
Show historical vulnerability count.,count_vulnerabilities,Severity
Total number of issues reported so far.,count_vulnerabilities,Severity
How many issues do we have in total?,count_vulnerabilities,Severity
Give me the vulnerability volume.,count_vulnerabilities,Severity
How many entries are there in vulnerability DB?,count_vulnerabilities,Severity
Provide vulnerability totals for past 6 months.,count_vulnerabilities,Severity
What is the distribution of vulnerabilities?,count_vulnerabilities,Severity
Summarize vulnerability count.,count_vulnerabilities,Severity
How many vulnerabilities remain unpatched?,count_vulnerabilities,Severity
How many exploitable vulnerabilities are present?,vulnerability_BU,"BU, Severity"
Can I get the number of high risk vulnerabilities?,vulnerability_BU,"BU, Severity"
Show me grouped counts of all known vulnerabilities.,vulnerability_BU,"BU, Severity"
Fetch count for vulnerabilities grouped by lab.,vulnerability_BU,"BU, Severity"
List vulnerabilities count where CVSS is over 7.,vulnerability_BU,"BU, Severity"
Display total issues by severity category.,vulnerability_BU,"BU, Severity"
Get count of risks across assets.,vulnerability_BU,"BU, Severity"
Number of system-wide vulnerabilities?,vulnerability_BU,"BU, Severity"
How many security risks were logged?,vulnerability_BU,"BU, Severity"
Give count for unresolved and unpatched vulns.,vulnerability_BU,"BU, Severity"
How many hosts have 10+ vulnerabilities?,vulnerability_BU,"BU, Severity"
What’s the total number of vulnerabilities in each BU?,vulnerability_BU,"BU, Severity"
List vulnerability counts across BUs.,vulnerability_BU,"BU, Severity"
Tell me vulnerabilities across every BU.,vulnerability_BU,"BU, Severity"
How many vulnerabilities are there across BUs?,vulnerability_BU,"BU, Severity"
Count vulnerabilities per business unit.,vulnerability_BU,"BU, Severity"
How are vulnerabilities distributed by BU?,vulnerability_BU,"BU, Severity"
Vulnerability stats per BU?,vulnerability_BU,"BU, Severity"
Get me the vulnerability breakdown by BU.,vulnerability_BU,"BU, Severity"
Which BU has how many vulnerabilities?,vulnerability_BU,"BU, Severity"
Give me BU-wise vulnerability data.,vulnerability_BU,"BU, Severity"
Vulnerability numbers grouped by BU?,vulnerability_BU,"BU, Severity"
How many open vulnerabilities are in each BU?,vulnerability_BU,"BU, Severity"
List number of vulnerabilities BU-wise.,vulnerability_BU,"BU, Severity"
BU-wise vulnerability report?,vulnerability_BU,"BU, Severity"
Show vulnerabilities per BU.,vulnerability_BU,"BU, Severity"
Tell me the BU-wise count of vulnerabilities.,vulnerability_BU,"BU, Severity"
What’s the count of security flaws in each BU?,vulnerability_BU,"BU, Severity"
How many security vulnerabilities are in each business unit?,vulnerability_BU,"BU, Severity"
Count of flaws per BU?,vulnerability_BU,"BU, Severity"
Vulnerability metrics for each BU?,vulnerability_BU,"BU, Severity"
Tell me the distribution of vulnerabilities by BU.,vulnerability_BU,"BU, Severity"
Can you show vulnerabilities for each BU?,vulnerability_BU,"BU, Severity"
Break down the number of vulnerabilities for each BU.,vulnerability_BU,"BU, Severity"
How many issues per business unit?,vulnerability_BU,"BU, Severity"
Can you list out the number of vulnerabilities for each BU?,vulnerability_BU,"BU, Severity"
What is the frequency of vulnerabilities by BU?,vulnerability_BU,"BU, Severity"
Can I get a count of vulnerabilities per BU?,vulnerability_BU,"BU, Severity"
Display the number of vulnerabilities in each BU.,vulnerability_BU,"BU, Severity"
How many bugs are in each BU?,vulnerability_BU,"BU, Severity"
BU-wise list of vulnerability counts?,vulnerability_BU,"BU, Severity"
How many weaknesses does each BU have?,vulnerability_BU,"BU, Severity"
Provide vulnerability counts per business unit.,vulnerability_BU,"BU, Severity"
Number of threats per BU?,vulnerability_BU,"BU, Severity"
Which BU has the most vulnerabilities?,vulnerability_BU,"BU, Severity"
How many vulnerabilities are tied to each BU?,vulnerability_BU,"BU, Severity"
Break down the number of issues by BU.,vulnerability_BU,"BU, Severity"
BU-wise vulnerabilities summary?,vulnerability_BU,"BU, Severity"
How many security problems exist per BU?,vulnerability_BU,"BU, Severity"
List security issues per BU.,vulnerability_BU,"BU, Severity"
What are the total vulnerabilities per BU?,vulnerability_BU,"BU, Severity"
BU-wise defect counts?,vulnerability_BU,"BU, Severity"
Give me a BU-based breakdown of vulnerabilities.,vulnerability_BU,"BU, Severity"
How many vulnerability incidents occurred per BU?,vulnerability_BU,"BU, Severity"
Security gaps by BU?,vulnerability_BU,"BU, Severity"
Report the number of vulnerabilities in each BU.,vulnerability_BU,"BU, Severity"
How many vulnerable points are in each BU?,vulnerability_BU,"BU, Severity"
Summarize vulnerability counts by BU.,vulnerability_BU,"BU, Severity"
What’s the total count of vulnerabilities for each BU?,vulnerability_BU,"BU, Severity"
